CAMPUS,EMPLOYEE ID, JOB FAMILY , JOB TITLE , DEPARTMENT ,JOB FULL TIME PCNT,STATE FUNDING,NON-STATE FUNDING,TOTAL FUNDING
ANSCHUTZ,116301,CLASSIFIED STAFF,ELECTRONICS SPECIALIST I,ADM AVCFM CONST SVCS ADMIN,100,56306,0,56306
ANSCHUTZ,166459,CLASSIFIED STAFF,PIPE/MECH TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,54903,54903
ANSCHUTZ,199514,CLASSIFIED STAFF,PIPE/MECH TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,54903,54903
ANSCHUTZ,240971,CLASSIFIED STAFF,PIPE/MECH TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,52516,52516
ANSCHUTZ,118023,CLASSIFIED STAFF,PIPE/MECH TRADES III,ADM AVCFM CONST SVCS ADMIN,100,0,71231,71231
ANSCHUTZ,106049,CLASSIFIED STAFF,PROJECT PLANNER II,ADM AVCFM CONST SVCS ADMIN,100,0,63755,63755
ANSCHUTZ,179031,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,46601,46601
ANSCHUTZ,199772,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,43682,43682
ANSCHUTZ,201439,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,41802,41802
ANSCHUTZ,206516,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,41307,41307
ANSCHUTZ,265673,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM CONST SVCS ADMIN,100,0,40898,40898
ANSCHUTZ,181816,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES PROFESSIONAL,ADM AVCFM OTHER FS BOOKSTORE,100,0,38753,38753
ANSCHUTZ,195850,OFFICERS AND EXEMPT PROFESSIONALS ,SALES ASSISTANT I,ADM AVCFM OTHER FS BOOKSTORE,100,0,23850,23850
ANSCHUTZ,230755,CLASSIFIED STAFF,PIPE/MECH TRADES I,ADM AVCFM OTHER FS CUP SC,100,0,41936,41936
ANSCHUTZ,251219,CLASSIFIED STAFF,PIPE/MECH TRADES I,ADM AVCFM OTHER FS CUP SC,100,0,43909,43909
ANSCHUTZ,251986,CLASSIFIED STAFF,PIPE/MECH TRADES I,ADM AVCFM OTHER FS CUP SC,100,0,45462,45462
ANSCHUTZ,252003,CLASSIFIED STAFF,PIPE/MECH TRADES I,ADM AVCFM OTHER FS CUP SC,100,0,43719,43719
