,rules,support,confidence,lift
1,{butter,rubbing alcohol} => {whole milk},0.000508388408744281,1,3.91364902506964
2,{whole milk,rubbing alcohol} => {butter},0.000508388408744281,0.833333333333333,15.0382262996942
3,{citrus fruit,rubbing alcohol} => {whole milk},0.000508388408744281,1,3.91364902506964
4,{whole milk,rubbing alcohol} => {citrus fruit},0.000508388408744281,0.833333333333333,10.0685913185913
5,{whipped/sour cream,frozen fruits} => {other vegetables},0.000610066090493137,1,5.16815554387809
6,{root vegetables,honey} => {whole milk},0.000508388408744281,1,3.91364902506964
7,{rolls/buns,soap} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
8,{ready soups,bottled water} => {rolls/buns},0.000508388408744281,0.833333333333333,4.53058780173208
9,{yogurt,tidbits} => {rolls/buns},0.000508388408744281,1,5.4367053620785
10,{baking powder,cooking chocolate} => {whole milk},0.000711743772241993,1,3.91364902506964
11,{curd,cooking chocolate} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
12,{bottled water,cooking chocolate} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
13,{other vegetables,cooking chocolate} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
14,{tropical fruit,bathroom cleaner} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
15,{potato products,fruit/vegetable juice} => {whole milk},0.000711743772241993,1,3.91364902506964
16,{pork,syrup} => {other vegetables},0.000508388408744281,1,5.16815554387809
17,{canned fruit,misc. beverages} => {domestic eggs},0.000508388408744281,0.833333333333333,13.1343482905983
18,{canned fruit,misc. beverages} => {citrus fruit},0.000508388408744281,0.833333333333333,10.0685913185913
19,{canned fruit,hygiene articles} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
20,{cream cheese ,meat spreads} => {yogurt},0.000915099135739705,0.818181818181818,5.86502782931354
21,{chicken,skin care} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
22,{whipped/sour cream,skin care} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
23,{whipped/sour cream,sparkling wine} => {other vegetables},0.000508388408744281,1,5.16815554387809
24,{beef,abrasive cleaner} => {whole milk},0.000610066090493137,1,3.91364902506964
25,{tropical fruit,abrasive cleaner} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
26,{whipped/sour cream,photo/film} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
27,{soft cheese,curd cheese} => {whole milk},0.000508388408744281,1,3.91364902506964
28,{onions,curd cheese} => {rolls/buns},0.000508388408744281,1,5.4367053620785
29,{curd cheese,hygiene articles} => {tropical fruit},0.000508388408744281,0.833333333333333,7.94169896640827
30,{curd cheese,hygiene articles} => {yogurt},0.000508388408744281,0.833333333333333,5.97363945578231
31,{curd cheese,hygiene articles} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
32,{curd cheese,hygiene articles} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
33,{curd cheese,frozen vegetables} => {whole milk},0.000610066090493137,1,3.91364902506964
34,{curd cheese,fruit/vegetable juice} => {tropical fruit},0.000610066090493137,0.857142857142857,8.16860465116279
35,{curd cheese,fruit/vegetable juice} => {other vegetables},0.000610066090493137,0.857142857142857,4.42984760903836
36,{curd cheese,pastry} => {whole milk},0.000508388408744281,1,3.91364902506964
37,{domestic eggs,spices} => {root vegetables},0.000508388408744281,0.833333333333333,7.64536691542289
38,{chicken,cleaner} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
39,{coffee,cleaner} => {whole milk},0.000508388408744281,1,3.91364902506964
40,{citrus fruit,cleaner} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
41,{root vegetables,cleaner} => {whole milk},0.000711743772241993,0.875,3.42444289693593
42,{sausage,softener} => {whole milk},0.000813421453990849,0.8,3.13091922005571
43,{frozen vegetables,zwieback} => {tropical fruit},0.000508388408744281,0.833333333333333,7.94169896640827
44,{liquor (appetizer),dishes} => {bottled beer},0.000610066090493137,0.857142857142857,10.6439393939394
45,{butter,female sanitary products} => {whole milk},0.000508388408744281,1,3.91364902506964
46,{liquor,red/blush wine} => {bottled beer},0.00193187595322827,0.904761904761905,11.2352693602694
47,{cereals,specialty chocolate} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
48,{hamburger meat,cereals} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
49,{sugar,cereals} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
50,{curd,cereals} => {whole milk},0.00101677681748856,0.909090909090909,3.55786275006331
51,{cereals,bottled beer} => {whole milk},0.000610066090493137,1,3.91364902506964
52,{brown bread,cereals} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
53,{butter,cereals} => {whole milk},0.000813421453990849,1,3.91364902506964
54,{cereals,fruit/vegetable juice} => {whole milk},0.000711743772241993,0.875,3.42444289693593
55,{cereals,bottled water} => {whole milk},0.000508388408744281,1,3.91364902506964
56,{tropical fruit,cereals} => {whole milk},0.000915099135739705,0.9,3.52228412256267
57,{yogurt,cereals} => {whole milk},0.00172852058973055,0.80952380952381,3.16819206791352
58,{jam,pot plants} => {whole milk},0.000508388408744281,1,3.91364902506964
59,{sugar,jam} => {whole milk},0.000610066090493137,1,3.91364902506964
60,{jam,waffles} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
61,{cream cheese ,jam} => {coffee},0.000508388408744281,0.833333333333333,14.3534734384121
62,{jam,napkins} => {root vegetables},0.000610066090493137,0.857142857142857,7.86380597014925
63,{jam,napkins} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
64,{butter,jam} => {whole milk},0.00101677681748856,0.833333333333333,3.26137418755803
65,{dental care,hygiene articles} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
66,{vinegar,detergent} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
67,{vinegar,detergent} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
68,{vinegar,sugar} => {rolls/buns},0.000508388408744281,0.833333333333333,4.53058780173208
69,{white bread,popcorn} => {fruit/vegetable juice},0.000508388408744281,0.833333333333333,11.5271917487107
70,{butter,popcorn} => {whole milk},0.000508388408744281,1,3.91364902506964
71,{butter,pet care} => {whole milk},0.000508388408744281,1,3.91364902506964
72,{detergent,candles} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
73,{berries,soups} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
74,{cream cheese ,soups} => {margarine},0.000508388408744281,0.833333333333333,14.2288773148148
75,{cream cheese ,soups} => {other vegetables},0.000508388408744281,0.833333333333333,4.30679628656507
76,{frozen vegetables,soups} => {other vegetables},0.000915099135739705,0.818181818181818,4.22849089953662
77,{soups,bottled beer} => {whole milk},0.00111845449923742,0.916666666666667,3.58751160631383
78,{brown bread,soups} => {other vegetables},0.000610066090493137,1,5.16815554387809
79,{baking powder,dog food} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
80,{dog food,chocolate} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
81,{frozen vegetables,dog food} => {whole milk},0.000813421453990849,0.8,3.13091922005571
82,{pork,dog food} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
83,{brown bread,dog food} => {whole milk},0.000813421453990849,0.8,3.13091922005571
84,{Instant food products,hygiene articles} => {hamburger meat},0.000610066090493137,0.857142857142857,25.7798165137615
85,{frozen vegetables,Instant food products} => {root vegetables},0.000610066090493137,0.857142857142857,7.86380597014925
86,{pork,Instant food products} => {other vegetables},0.000813421453990849,0.8,4.13452443510247
87,{Instant food products,bottled beer} => {whole milk},0.000610066090493137,1,3.91364902506964
88,{whipped/sour cream,Instant food products} => {yogurt},0.000610066090493137,0.857142857142857,6.14431486880467
89,{condensed milk,white bread} => {whole milk},0.000813421453990849,0.8,3.13091922005571
90,{specialty cheese,canned fish} => {root vegetables},0.000508388408744281,1,9.17444029850746
91,{specialty cheese,cat food} => {other vegetables},0.000610066090493137,1,5.16815554387809
92,{sliced cheese,specialty cheese} => {other vegetables},0.000711743772241993,0.875,4.52213610089333
93,{berries,specialty cheese} => {yogurt},0.000508388408744281,0.833333333333333,5.97363945578231
94,{beef,specialty cheese} => {yogurt},0.000610066090493137,0.857142857142857,6.14431486880467
95,{specialty cheese,pastry} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
96,{semi-finished bread,chocolate marshmallow} => {tropical fruit},0.000610066090493137,0.857142857142857,8.16860465116279
97,{hamburger meat,chocolate marshmallow} => {whole milk},0.000610066090493137,1,3.91364902506964
98,{chicken,chocolate marshmallow} => {soda},0.000610066090493137,0.857142857142857,4.91545189504373
99,{beef,chocolate marshmallow} => {whole milk},0.000610066090493137,0.857142857142857,3.35455630720255
100,{pip fruit,flower (seeds)} => {whole milk},0.000508388408744281,0.833333333333333,3.26137418755803
